DATE,HDTGPDUSQ163N
2005-01-01,88.405
2005-04-01,89.961
2005-07-01,91.029
2005-10-01,91.939
2006-01-01,92.73
2006-04-01,94.242
2006-07-01,95.827
2006-10-01,96.6
2007-01-01,96.664
2007-04-01,97.606
2007-07-01,98.299
2007-10-01,98.777
2008-01-01,99.822
2008-04-01,98.33
2008-07-01,99.108
2008-10-01,98.893
2009-01-01,99.318
2009-04-01,99.461
2009-07-01,99.028
2009-10-01,97.593
2010-01-01,96.25
2010-04-01,94.518
2010-07-01,93.148
2010-10-01,92.264
2011-01-01,91.856
2011-04-01,90.327
2011-07-01,89.47
2011-10-01,88.326
2012-01-01,86.816
2012-04-01,85.825
2012-07-01,85.48
2012-10-01,84.936
2013-01-01,83.593
2013-04-01,83.301
2013-07-01,82.697
2013-10-01,82.625
2014-01-01,82.414
2014-04-01,81.428
2014-07-01,80.11
2014-10-01,79.922
2015-01-01,78.965
2015-04-01,78.762
2015-07-01,78.571
2015-10-01,78.581
2016-01-01,78.139
2016-04-01,78.096
2016-07-01,78.397
2016-10-01,78.06
2017-01-01,77.46
2017-04-01,77.706
2017-07-01,77.441
2017-10-01,77.238
2018-01-01,76.266
2018-04-01,75.811
2018-07-01,76.013
2018-10-01,76.011
2019-01-01,75.275
2019-04-01,75.324
2019-07-01,75.399
2019-10-01,75.433
2020-01-01,76.423
2020-04-01,84.483
2020-07-01,79.166
2020-10-01,79.379
